﻿序號,原始書目,查詢結果書名,分館狀態,索書號,館藏地/室,狀態說明,條碼號,圖書館連結
1,精準回饋 88,"精準回饋 : 提升團隊績效, 改善溝通的超能力",可借閱,494.2 8324,中壢分館/書庫,書在館,B10106169,https://webpac.typl.gov.tw/bookDetail/2305250
2,原子習慣 p.120,原子習慣 : 細微改變帶來巨大成就的實證法則,外借中,PB 176.74 2740 C8,中壢分館/書庫,待移送他館,B10117482,https://webpac.typl.gov.tw/bookDetail/2241755
2,原子習慣 p.120,原子習慣 : 細微改變帶來巨大成就的實證法則,外借中,PB 176.74 2740 C8,中壢分館/書庫,待移送他館,B10117482,https://webpac.typl.gov.tw/bookDetail/2241755
2,原子習慣 p.120,原子習慣 : 細微改變帶來巨大成就的實證法則,外借中,PB 176.74 2740 108,中壢分館/書庫,已被外借/2026-10-02,B10031665,https://webpac.typl.gov.tw/bookDetail/2241755
2,原子習慣 p.120,原子習慣 : 細微改變帶來巨大成就的實證法則,外借中,PB 176.74 2740 108,中壢分館/書庫,已被外借/2026-10-02,B10031665,https://webpac.typl.gov.tw/bookDetail/2241755
3,蒙格之道,蒙格之道 : 關於投資、閱讀、工作與幸福的普通常識,外借中,563.52 4447-1 C2,中壢分館/書庫,已被外借/2026-09-17,B10143813,https://webpac.typl.gov.tw/bookDetail/2485967
3,蒙格之道,蒙格之道 : 關於投資、閱讀、工作與幸福的普通常識,外借中,563.52 4447-1 C2,中壢分館/書庫,已被外借/2026-09-17,B10143813,https://webpac.typl.gov.tw/bookDetail/2485967
3,蒙格之道,蒙格之道 : 關於投資、閱讀、工作與幸福的普通常識,外借中,563.52 4447-1,中壢分館/書庫,已被外借/2026-10-02,B10140841,https://webpac.typl.gov.tw/bookDetail/2485967
3,蒙格之道,蒙格之道 : 關於投資、閱讀、工作與幸福的普通常識,外借中,563.52 4447-1,中壢分館/書庫,已被外借/2026-10-02,B10140841,https://webpac.typl.gov.tw/bookDetail/2485967
4,彼得林區 選股戰略-150,彼得林區選股戰略,外借中,563.53 4471 102,中壢分館/書庫,已被外借/2026-10-11,B179232,https://webpac.typl.gov.tw/bookDetail/842996
